timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1616316283033,570,JoinServer,200,OK,JoinServer 1-1,text,true,,0,0,1,13,null,0,0,0
1616316283366,240,CreateRoom,200,OK,CreateRoom 2-4,text,true,,0,0,6,12,null,0,0,0
1616316283143,463,CreateRoom,200,OK,CreateRoom 2-2,text,true,,0,0,6,12,null,0,0,0
1616316283254,352,CreateRoom,200,OK,CreateRoom 2-3,text,true,,0,0,6,12,null,0,0,0
1616316283033,572,CreateRoom,200,OK,CreateRoom 2-1,text,true,,0,0,6,12,null,0,0,0
1616316283478,128,CreateRoom,200,OK,CreateRoom 2-5,text,true,,0,0,6,12,null,0,0,0
1616316283366,245,JoinRoom,200,OK,JoinRoom 3-4,text,true,,0,0,6,7,null,0,0,0
1616316283254,357,JoinRoom,200,OK,JoinRoom 3-3,text,true,,0,0,6,7,null,0,0,0
1616316283478,133,JoinRoom,200,OK,JoinRoom 3-5,text,true,,0,0,6,7,null,0,0,0
1616316283143,468,JoinRoom,200,OK,JoinRoom 3-2,text,true,,0,0,6,7,null,0,0,0
1616316283033,577,JoinRoom,200,OK,JoinRoom 3-1,text,true,,0,0,6,7,null,0,0,0
1616316283591,29,JoinRoom,200,OK,JoinRoom 3-6,text,true,,0,0,6,7,null,0,0,0
1616316283612,28,JoinRoom,200,OK,JoinRoom 3-2,text,true,,0,0,6,7,null,0,0,0
1616316283611,29,JoinRoom,200,OK,JoinRoom 3-3,text,true,,0,0,6,7,null,0,0,0
1616316283612,28,JoinRoom,200,OK,JoinRoom 3-1,text,true,,0,0,6,7,null,0,0,0
1616316283611,30,JoinRoom,200,OK,JoinRoom 3-5,text,true,,0,0,6,7,null,0,0,0
1616316283611,30,JoinRoom,200,OK,JoinRoom 3-4,text,true,,0,0,6,7,null,0,0,0
1616316283620,27,JoinRoom,200,OK,JoinRoom 3-6,text,true,,0,0,6,7,null,0,0,0
1616316283591,57,CreateRoom,200,OK,CreateRoom 2-6,text,true,,0,0,1,7,null,0,0,0
