timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1617467159021,4557,JoinServer1,200,OK,JoinServer(LoadBalance) 1-4790,text,true,,0,0,8593,8593,null,0,0,0
1617467159884,3693,JoinServer1,200,OK,JoinServer(LoadBalance) 1-7123,text,true,,0,0,8593,8593,null,0,0,0
1617467159354,4223,JoinServer1,200,OK,JoinServer(LoadBalance) 1-6653,text,true,,0,0,8589,8589,null,0,0,0
1617467158870,4708,JoinServer1,200,OK,JoinServer(LoadBalance) 1-3437,text,true,,0,0,8594,8594,null,0,0,0
1617467159423,4154,JoinServer1,200,OK,JoinServer(LoadBalance) 1-6714,text,true,,0,0,8593,8593,null,0,0,0
1617467158870,4707,JoinServer1,200,OK,JoinServer(LoadBalance) 1-3441,text,true,,0,0,8593,8593,null,0,0,0
1617467159886,3691,JoinServer1,200,OK,JoinServer(LoadBalance) 1-7067,text,true,,0,0,8593,8593,null,0,0,0
1617467159281,4297,JoinServer1,200,OK,JoinServer(LoadBalance) 1-6242,text,true,,0,0,8593,8593,null,0,0,0
1617467158737,4840,JoinServer1,200,OK,JoinServer(LoadBalance) 1-2253,text,true,,0,0,8593,8593,null,0,0,0
1617467161298,2279,JoinServer1,200,OK,JoinServer(LoadBalance) 1-8219,text,true,,0,0,8593,8593,null,0,0,0
1617467158961,4617,JoinServer1,200,OK,JoinServer(LoadBalance) 1-4228,text,true,,0,0,8594,8594,null,0,0,0
1617467158872,4705,JoinServer1,200,OK,JoinServer(LoadBalance) 1-3458,text,true,,0,0,8593,8593,null,0,0,0
1617467159421,4157,JoinServer1,200,OK,JoinServer(LoadBalance) 1-6730,text,true,,0,0,8594,8594,null,0,0,0
1617467158732,4846,JoinServer1,200,OK,JoinServer(LoadBalance) 1-2185,text,true,,0,0,8594,8594,null,0,0,0
1617467159097,4481,JoinServer1,200,OK,JoinServer(LoadBalance) 1-5142,text,true,,0,0,8594,8594,null,0,0,0
1617467159351,4226,JoinServer1,200,OK,JoinServer(LoadBalance) 1-6614,text,true,,0,0,8592,8592,null,0,0,0
1617467158869,4708,JoinServer1,200,OK,JoinServer(LoadBalance) 1-3431,text,true,,0,0,8592,8592,null,0,0,0
